epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.8723,0.67792,0.82837,1,0.34046,0.000549627,0.000549627,0.000549627
2,46.8577,0.4394,0.81501,1,0.3536,0.00106882,0.00106882,0.00106882
3,69.9026,0.42795,0.83659,1,0.3363,0.00155134,0.00155134,0.00155134
4,92.4881,0.43655,0.81706,1,0.38303,0.00150197,0.00150197,0.00150197
5,115.655,0.44478,0.81912,1,0.36591,0.00144696,0.00144696,0.00144696
6,138.769,0.44425,0.78931,1,0.40655,0.00139195,0.00139195,0.00139195
7,160.357,0.41558,0.83145,1,0.32222,0.00133693,0.00133693,0.00133693
8,182.3,0.41129,0.83659,1,0.33727,0.00128192,0.00128192,0.00128192
9,203.124,0.39881,0.8335,1,0.38976,0.00122691,0.00122691,0.00122691
10,225.494,0.42453,0.81912,1,0.32439,0.0011719,0.0011719,0.0011719
11,247.607,0.39973,0.82117,1,0.38973,0.00111689,0.00111689,0.00111689
