epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.5609,0.47497,0.85322,1,0.33913,0.000549755,0.000549755,0.000549755
2,48.9205,0.45428,0.859,1,0.30564,0.00106165,0.00106165,0.00106165
3,70.4713,0.47978,0.76949,1,0.42094,0.00152953,0.00152953,0.00152953
4,93.1245,0.50152,0.77575,1,0.44077,0.00146896,0.00146896,0.00146896
5,115.066,0.48821,0.85082,1,0.34412,0.00140295,0.00140295,0.00140295
6,137.571,0.47126,0.82243,1,0.37838,0.00133693,0.00133693,0.00133693
7,160.516,0.46273,0.8205,1,0.39798,0.00127092,0.00127092,0.00127092
8,182.618,0.46151,0.84312,1,0.32441,0.00120491,0.00120491,0.00120491
9,204.966,0.41665,0.86814,1,0.29273,0.00113889,0.00113889,0.00113889
10,226.386,0.42283,0.80029,1,0.39956,0.00107288,0.00107288,0.00107288
11,248.369,0.411,0.86092,1,0.29072,0.00100687,0.00100687,0.00100687
12,271.002,0.39268,0.81617,1,0.45287,0.000940855,0.000940855,0.000940855
13,293.294,0.39126,0.8691,1,0.29597,0.000874842,0.000874842,0.000874842
14,315.315,0.37425,0.84408,1,0.35317,0.000808828,0.000808828,0.000808828
15,336.004,0.36052,0.83397,1,0.39534,0.000742815,0.000742815,0.000742815
16,363.269,0.34798,0.87247,1,0.29995,0.000676802,0.000676802,0.000676802
17,385.244,0.34287,0.87584,1,0.28546,0.000610789,0.000610789,0.000610789
18,406.715,0.34239,0.85082,1,0.34702,0.000544776,0.000544776,0.000544776
19,429.503,0.31397,0.85322,1,0.35923,0.000478762,0.000478762,0.000478762
20,451.904,0.30825,0.81473,1,0.492,0.000412749,0.000412749,0.000412749
21,473.914,0.30241,0.87055,1,0.31222,0.000346736,0.000346736,0.000346736
22,496.556,0.29595,0.84601,1,0.37596,0.000280723,0.000280723,0.000280723
23,519.993,0.27841,0.86333,1,0.34588,0.00021471,0.00021471,0.00021471
24,542.228,0.27257,0.8667,1,0.33853,0.000148696,0.000148696,0.000148696
25,563.791,0.27915,0.86766,1,0.33737,8.26832e-05,8.26832e-05,8.26832e-05
