accept_threshold,uncertain_threshold,count,gate_accuracy,accept_count,accepted_accept_count,gate_accept_recall,reject_count,false_accept_count_on_reject,false_accept_rate_on_reject
0.5,0.5,1451,0.6402481047553411,783,698,0.8914431673052363,668,437,0.6541916167664671
0.55,0.5,1451,0.6485182632667126,783,675,0.8620689655172413,668,402,0.6017964071856288
0.6,0.5,1451,0.6450723638869745,783,637,0.8135376756066411,668,369,0.5523952095808383
0.65,0.5,1451,0.6464507236388698,783,592,0.756066411238825,668,322,0.4820359281437126
0.7,0.5,1451,0.6464507236388698,783,530,0.6768837803320562,668,260,0.38922155688622756
0.75,0.5,1451,0.6271536871123363,783,447,0.5708812260536399,668,205,0.3068862275449102
0.76,0.5,1451,0.6195727084769125,783,423,0.5402298850574713,668,192,0.2874251497005988
0.8,0.5,1451,0.5816678152997933,783,333,0.42528735632183906,668,157,0.23502994011976047
0.85,0.5,1451,0.5410062026188835,783,230,0.2937420178799489,668,113,0.1691616766467066
0.9,0.5,1451,0.5148173673328739,783,147,0.18773946360153257,668,68,0.10179640718562874
0.95,0.5,1451,0.48931771192281187,783,64,0.08173690932311622,668,22,0.03293413173652695
