accept_threshold,uncertain_threshold,count,gate_accuracy,accept_count,accepted_accept_count,gate_accept_recall,reject_count,false_accept_count_on_reject,false_accept_rate_on_reject
0.5,0.5,90,0.5777777777777777,10,7,0.7,80,35,0.4375
0.55,0.5,90,0.6222222222222222,10,7,0.7,80,31,0.3875
0.6,0.5,90,0.6333333333333333,10,6,0.6,80,29,0.3625
0.65,0.5,90,0.6555555555555556,10,6,0.6,80,27,0.3375
0.7,0.5,90,0.7,10,5,0.5,80,22,0.275
0.75,0.5,90,0.7444444444444445,10,3,0.3,80,16,0.2
0.76,0.5,90,0.7666666666666667,10,3,0.3,80,14,0.175
0.8,0.5,90,0.7888888888888889,10,3,0.3,80,12,0.15
0.85,0.5,90,0.8555555555555555,10,3,0.3,80,6,0.075
0.9,0.5,90,0.8888888888888888,10,3,0.3,80,3,0.0375
0.95,0.5,90,0.9,10,1,0.1,80,0,0.0
