accept_threshold,uncertain_threshold,count,gate_accuracy,accept_count,accepted_accept_count,gate_accept_recall,reject_count,false_accept_count_on_reject,false_accept_rate_on_reject
0.5,0.5,50,0.54,25,7,0.28,25,5,0.2
0.55,0.5,50,0.54,25,7,0.28,25,5,0.2
0.6,0.5,50,0.52,25,6,0.24,25,5,0.2
0.65,0.5,50,0.5,25,3,0.12,25,3,0.12
0.7,0.5,50,0.48,25,2,0.08,25,3,0.12
0.75,0.5,50,0.5,25,1,0.04,25,1,0.04
0.76,0.5,50,0.5,25,1,0.04,25,1,0.04
0.8,0.5,50,0.5,25,1,0.04,25,1,0.04
0.85,0.5,50,0.52,25,1,0.04,25,0,0.0
0.9,0.5,50,0.52,25,1,0.04,25,0,0.0
0.95,0.5,50,0.5,25,0,0.0,25,0,0.0
