epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.3368,0.40361,0.90253,1,0.27483,0.000547495,0.000547495,0.000547495
2,24.3163,0.38335,0.85669,1,0.31213,0.00105948,0.00105948,0.00105948
3,35.0623,0.38275,0.89779,1,0.3082,0.00152745,0.00152745,0.00152745
4,45.344,0.44476,0.89779,1,0.2672,0.00146896,0.00146896,0.00146896
5,55.4329,0.41509,0.90411,1,0.25035,0.00140295,0.00140295,0.00140295
6,65.5225,0.37437,0.91149,1,0.22425,0.00133693,0.00133693,0.00133693
7,76.4546,0.3665,0.90358,1,0.25422,0.00127092,0.00127092,0.00127092
8,86.7637,0.32929,0.89726,1,0.26624,0.00120491,0.00120491,0.00120491
9,96.9432,0.31839,0.86091,1,0.31897,0.00113889,0.00113889,0.00113889
10,106.932,0.30932,0.91623,1,0.20974,0.00107288,0.00107288,0.00107288
11,117.022,0.31165,0.85353,1,0.38427,0.00100687,0.00100687,0.00100687
12,127.152,0.28648,0.86723,1,0.33404,0.000940855,0.000940855,0.000940855
13,138.329,0.30147,0.87039,1,0.33095,0.000874842,0.000874842,0.000874842
14,148.12,0.26168,0.86828,1,0.37021,0.000808828,0.000808828,0.000808828
15,158.634,0.2612,0.90727,1,0.2289,0.000742815,0.000742815,0.000742815
16,170.472,0.24718,0.92255,1,0.19776,0.000676802,0.000676802,0.000676802
17,181.527,0.2235,0.88672,1,0.33603,0.000610789,0.000610789,0.000610789
18,192.676,0.21882,0.8746,1,0.33761,0.000544776,0.000544776,0.000544776
19,202.961,0.23325,0.92571,1,0.20065,0.000478762,0.000478762,0.000478762
20,213.336,0.20641,0.84773,1,0.39515,0.000412749,0.000412749,0.000412749
21,223.021,0.22424,0.88778,1,0.30056,0.000346736,0.000346736,0.000346736
22,234.523,0.17674,0.90674,1,0.24611,0.000280723,0.000280723,0.000280723
23,244.306,0.1846,0.90622,1,0.25798,0.00021471,0.00021471,0.00021471
24,254.841,0.15595,0.90253,1,0.27439,0.000148696,0.000148696,0.000148696
25,265.042,0.15986,0.91675,1,0.23671,8.26832e-05,8.26832e-05,8.26832e-05
