accept_threshold,uncertain_threshold,count,gate_accuracy,accept_count,accepted_accept_count,gate_accept_recall,reject_count,false_accept_count_on_reject,false_accept_rate_on_reject
0.5,0.5,1451,0.50723638869745,783,412,0.5261813537675607,668,344,0.5149700598802395
0.55,0.5,1451,0.49758787043418334,783,383,0.4891443167305236,668,329,0.49251497005988026
0.6,0.5,1451,0.4941419710544452,783,358,0.45721583652618136,668,309,0.4625748502994012
0.65,0.5,1451,0.4913852515506547,783,327,0.41762452107279696,668,282,0.4221556886227545
0.7,0.5,1451,0.49276361130255,783,302,0.38569604086845466,668,255,0.38173652694610777
0.75,0.5,1451,0.47966919365954513,783,260,0.33205619412515963,668,232,0.3473053892215569
0.76,0.5,1451,0.48311509303928324,783,255,0.32567049808429116,668,222,0.3323353293413174
0.8,0.5,1451,0.4686423156443832,783,215,0.27458492975734355,668,203,0.30389221556886226
0.85,0.5,1451,0.4665747760165403,783,176,0.2247765006385696,668,167,0.25
0.9,0.5,1451,0.4658855961405927,783,136,0.17369093231162197,668,128,0.19161676646706588
0.95,0.5,1451,0.4631288766368022,783,83,0.10600255427841634,668,79,0.11826347305389222
