epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.72241,0.38273,0.8878,1,0.2576,0.000545377,0.000545377,0.000545377
2,5.71674,0.36742,0.93268,1,0.20893,0.00106471,0.00106471,0.00106471
3,8.00193,0.36995,0.91585,1,0.24055,0.00154737,0.00154737,0.00154737
4,10.1436,0.40059,0.87518,1,0.2862,0.00150197,0.00150197,0.00150197
5,12.3286,0.39938,0.89762,1,0.26661,0.00144696,0.00144696,0.00144696
6,14.636,0.36181,0.88079,1,0.31403,0.00139195,0.00139195,0.00139195
7,16.7593,0.33658,0.89341,1,0.2383,0.00133693,0.00133693,0.00133693
8,18.9655,0.32013,0.89902,1,0.2636,0.00128192,0.00128192,0.00128192
9,21.1515,0.30356,0.91725,1,0.19646,0.00122691,0.00122691,0.00122691
10,23.2487,0.29606,0.87798,1,0.2968,0.0011719,0.0011719,0.0011719
