epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.52862,1.00387,0.35714,1,1.16895,5.001e-05,5.001e-05,5.001e-05
2,1.88602,1.0285,0.42857,1,1.17383,0.000112069,0.000112069,0.000112069
3,2.05797,0.86074,0.5,1,0.9082,0.000168847,0.000168847,0.000168847
4,2.23579,0.59878,0.64286,1,0.70801,0.000220344,0.000220344,0.000220344
5,2.38381,0.38116,0.71429,1,0.60596,0.00026656,0.00026656,0.00026656
6,2.53748,0.36093,0.85714,1,0.53369,0.000307495,0.000307495,0.000307495
7,2.68864,0.32678,0.78571,1,0.4917,0.000343149,0.000343149,0.000343149
8,2.83661,0.31478,0.85714,1,0.47974,0.000373521,0.000373521,0.000373521
9,2.98372,0.34431,0.85714,1,0.47729,0.000398613,0.000398613,0.000398613
10,3.13106,0.23048,0.85714,1,0.52344,0.000418424,0.000418424,0.000418424
11,3.28858,0.24959,0.85714,1,0.52441,0.000432953,0.000432953,0.000432953
12,3.43077,0.30422,0.85714,1,0.54541,0.000442202,0.000442202,0.000442202
13,3.5758,0.22592,0.85714,1,0.54395,0.000446169,0.000446169,0.000446169
14,3.72416,0.22128,0.85714,1,0.49854,0.000444856,0.000444856,0.000444856
