epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.7937,0.35294,0.79147,1,0.55509,0.000550272,0.000550272,0.000550272
2,80.5075,0.36211,0.78523,1,0.50964,0.00103295,0.00103295,0.00103295
3,113.823,0.38252,0.82886,1,0.39727,0.00144227,0.00144227,0.00144227
4,147.071,0.40305,0.75647,1,0.58654,0.00133693,0.00133693,0.00133693
5,185.877,0.38539,0.80585,1,0.46724,0.00122691,0.00122691,0.00122691
6,231.185,0.37519,0.87776,1,0.29976,0.00111689,0.00111689,0.00111689
7,275.73,0.36105,0.86673,1,0.30983,0.00100687,0.00100687,0.00100687
8,319.186,0.34028,0.82167,1,0.43251,0.000896846,0.000896846,0.000896846
9,368.785,0.31395,0.85762,1,0.37257,0.000786824,0.000786824,0.000786824
10,414.759,0.31301,0.85283,1,0.34855,0.000676802,0.000676802,0.000676802
11,469.052,0.29108,0.84036,1,0.43194,0.00056678,0.00056678,0.00056678
